case_public_id,field_name,service_alias,service_layer,metric_family,direction,magnitude_bucket,relative_offset_bucket,order_rank,serialized_expression
O01,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O01,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O01,earliest_abnormal,S02,storage_dependency,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S02 storage_dependency cpu_usage up medium
O01,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S02 storage_dependency cpu_usage
O01,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S03 storage_dependency cpu_usage
O01,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,3,3 S01 application_service latency_p95
O01,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S04 application_service latency_p95
O01,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service latency_p99
O02,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O02,maximum_change,S04,application_service,http_5xx_count,up,extreme,not_applicable,,S04 application_service http_5xx_count up extreme
O02,earliest_abnormal,S02,storage_dependency,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S02 storage_dependency cpu_usage up medium
O02,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S02 storage_dependency cpu_usage
O02,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S03 storage_dependency cpu_usage
O02,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,3,3 S01 application_service latency_p95
O02,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S04 application_service latency_p95
O02,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service latency_p99
O03,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O03,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O03,earliest_abnormal,S03,storage_dependency,cpu_usage,up,large,anchor-30m_to_anchor-20m,,S03 storage_dependency cpu_usage up large
O03,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S03 storage_dependency cpu_usage
O03,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S06 datastore db_cpu_utilization
O03,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,3,3 S01 application_service latency_p95
O03,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S04 application_service latency_p95
O03,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service latency_p99
O04,alert_message,S01,application_service,db_read_iops,alert,not_applicable,alert_anchor,,S01 application_service db_read_iops alert
O04,maximum_change,S05,application_service,http_4xx_count,down,extreme,not_applicable,,S05 application_service http_4xx_count down extreme
O04,earliest_abnormal,S01,application_service,latency_p95,down,extreme,anchor-10m_to_anchor,,S01 application_service latency_p95 down extreme
O04,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,1,1 S01 application_service latency_p95
O04,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,2,2 S04 application_service latency_p95
O04,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,3,3 S04 application_service latency_p99
O04,change_order,S01,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,4,4 S01 application_service latency_p99
O04,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S06 datastore db_cpu_utilization
O05,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O05,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O05,earliest_abnormal,S04,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S04 application_service cpu_usage up medium
O05,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service cpu_usage
O05,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S01 application_service cpu_usage
O05,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency cpu_usage
O05,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S03 storage_dependency cpu_usage
O05,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service latency_p99
O06,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O06,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O06,earliest_abnormal,S03,storage_dependency,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S03 storage_dependency cpu_usage up medium
O06,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S03 storage_dependency cpu_usage
O06,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,2,2 S04 application_service cpu_usage
O06,change_order,S04,application_service,latency_p99,not_applicable,not_applicable,anchor-20m_to_anchor-10m,3,3 S04 application_service latency_p99
O06,change_order,S04,application_service,latency_p95,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S04 application_service latency_p95
O06,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S01 application_service latency_p95
O07,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O07,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O07,earliest_abnormal,S06,datastore,db_cpu_utilization,down,medium,anchor-30m_to_anchor-20m,,S06 datastore db_cpu_utilization down medium
O07,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S06 datastore db_cpu_utilization
O07,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service cpu_usage
O07,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency cpu_usage
O07,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S04 application_service http_5xx_count
O07,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S03 storage_dependency cpu_usage
O08,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O08,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O08,earliest_abnormal,S04,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S04 application_service cpu_usage up medium
O08,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service cpu_usage
O08,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S06 datastore db_cpu_utilization
O08,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S01 application_service cpu_usage
O08,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S03 storage_dependency cpu_usage
O08,change_order,S01,application_service,latency_p95,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S01 application_service latency_p95
O09,alert_message,S01,application_service,latency_p95,alert,not_applicable,alert_anchor,,S01 application_service latency_p95 alert
O09,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O09,earliest_abnormal,S06,datastore,db_cpu_utilization,down,medium,anchor-30m_to_anchor-20m,,S06 datastore db_cpu_utilization down medium
O09,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S06 datastore db_cpu_utilization
O09,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service cpu_usage
O09,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency cpu_usage
O09,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S03 storage_dependency cpu_usage
O09,change_order,S04,application_service,http_5xx_count,not_applicable,not_applicable,anchor-10m_to_anchor,5,5 S04 application_service http_5xx_count
O10,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O10,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O10,earliest_abnormal,S01,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S01 application_service cpu_usage up medium
O10,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S01 application_service cpu_usage
O10,change_order,S01,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S01 application_service request_count
O10,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S02 storage_dependency request_count
O10,change_order,S05,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S05 application_service request_count
O10,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S04 application_service request_count
O11,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O11,maximum_change,S01,application_service,latency_p95,up,extreme,not_applicable,,S01 application_service latency_p95 up extreme
O11,earliest_abnormal,S01,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S01 application_service cpu_usage up medium
O11,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S01 application_service cpu_usage
O11,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S02 storage_dependency cpu_usage
O11,change_order,S01,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S01 application_service request_count
O11,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S02 storage_dependency request_count
O11,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S04 application_service request_count
O12,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O12,maximum_change,S01,application_service,http_5xx_count,up,extreme,not_applicable,,S01 application_service http_5xx_count up extreme
O12,earliest_abnormal,S02,storage_dependency,request_count,down,medium,anchor-30m_to_anchor-20m,,S02 storage_dependency request_count down medium
O12,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S02 storage_dependency request_count
O12,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S04 application_service request_count
O12,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S06 datastore db_cpu_utilization
O12,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,4,4 S01 application_service cpu_usage
O12,change_order,S03,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S03 storage_dependency cpu_usage
O13,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O13,maximum_change,S01,application_service,http_5xx_count,down,extreme,not_applicable,,S01 application_service http_5xx_count down extreme
O13,earliest_abnormal,S05,application_service,cpu_usage,down,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage down medium
O13,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O13,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S01 application_service cpu_usage
O13,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S04 application_service cpu_usage
O13,change_order,S02,storage_dependency,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S02 storage_dependency request_count
O13,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,5,5 S04 application_service request_count
O14,alert_message,S01,application_service,http_5xx_ratio,alert,not_applicable,alert_anchor,,S01 application_service http_5xx_ratio alert
O14,maximum_change,S03,storage_dependency,http_4xx_count,up,extreme,not_applicable,,S03 storage_dependency http_4xx_count up extreme
O14,earliest_abnormal,S05,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S05 application_service cpu_usage up medium
O14,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S05 application_service cpu_usage
O14,change_order,S02,storage_dependency,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S02 storage_dependency cpu_usage
O14,change_order,S04,application_service,request_count,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S04 application_service request_count
O14,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S01 application_service cpu_usage
O14,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S06 datastore db_cpu_utilization
O15,alert_message,S01,application_service,resource_cpu,alert,not_applicable,alert_anchor,,S01 application_service resource_cpu alert
O15,maximum_change,S02,storage_dependency,response_count,down,extreme,not_applicable,,S02 storage_dependency response_count down extreme
O15,earliest_abnormal,S04,application_service,cpu_usage,up,medium,anchor-30m_to_anchor-20m,,S04 application_service cpu_usage up medium
O15,change_order,S04,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,1,1 S04 application_service cpu_usage
O15,change_order,S01,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,2,2 S01 application_service cpu_usage
O15,change_order,S06,datastore,db_cpu_utilization,not_applicable,not_applicable,anchor-30m_to_anchor-20m,3,3 S06 datastore db_cpu_utilization
O15,change_order,S05,application_service,cpu_usage,not_applicable,not_applicable,anchor-30m_to_anchor-20m,4,4 S05 application_service cpu_usage
O15,change_order,S05,application_service,request_count,not_applicable,not_applicable,anchor-20m_to_anchor-10m,5,5 S05 application_service request_count
